speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
83.742728309558,0.168872268405789,3.8,0.987011420859595,1.14550045345489,1,11.65,12748.1121261206,60.4329919994226,108.189352566185,1163.39803726165,385.048995783997,0,88.8977242143988,76.3541090173645,55.8853564106514,1,131.380595779309,1.75,1.75,3.87720865418704,4.46365407152121,1.12315456562338,4.1448369235427,0.0716415708973747,0,3812.09803726165,
83.9161720019723,0.173171149123757,3.9,1.0002081034113,1.14243528357095,1,11.65,12774.5153695198,60.3212182690329,108.212913007016,1168.22216988439,386.645635422728,0,88.8310301002052,75.9791288017954,55.3766846312604,1,131.380595779309,1.75,1.75,3.99292648142536,4.51064533772876,1.14469654146246,4.25238235986717,0.0773988910073737,0,3816.92216988439,
84.0887948275098,0.177461144620591,4,1.01363830896312,1.13938337040166,1,11.65,12800.7936527797,60.2099735365657,108.23553893722,1173.03338147571,388.237998597161,0,88.764310841277,75.592249990802,54.8680128518694,1,131.380595779309,1.75,1.75,4.10962453832734,4.55844917046171,1.16690231056659,4.35981835566888,0.0833679818904989,0,3821.73338147571,
84.2606038376957,0.181742333341852,4.1,1.02730864206959,1.13634460671231,1,11.65,12826.9480493505,60.0992532577495,108.257242943864,1177.83172812967,389.826103872705,0,88.6975666669022,75.1928955379286,54.3593410724784,1,131.380595779309,1.75,1.75,4.22732110476413,4.6070895395521,1.1897647760258,4.46714437430466,0.0895502603098939,0,3826.53172812967,
84.4316059866587,0.186014792636037,4.2,1.04122595642818,1.13331888671563,1,11.65,12852.9796178556,59.9890529510782,108.27803741381,1182.61726548287,391.409969663362,0,88.6307978054459,74.7804497774845,53.8506692930874,1,131.380595779309,1.75,1.75,4.3460349760661,4.65659087167836,1.21329824848522,4.57435986723384,0.0959471706519092,0,3831.31726548287,
84.6018081330096,0.190278598775848,4.3,1.05539736676398,1.13030610604403,1,11.65,12878.8894023776,59.8793681966016,108.297934537794,1187.39004872065,392.989614233785,0,88.5640044843614,74.3542550263197,53.3419975136964,1,131.380595779309,1.75,1.75,4.46578548256118,4.70697837132222,1.23752498372998,4.68146427363117,0.102560185698944,0,3836.09004872065,
84.7712170416718,0.194533826978938,4.4,1.06983026140092,1.1273061617226,1,11.65,12904.6784327374,59.770194634745,108.316946314389,1192.15013258325,394.565055701312,0,88.4971869302023,73.9136078048652,52.8333257343054,1,131.380595779309,1.75,1.75,4.58659251007955,4.75827815801718,1.26247074046111,4.78845701998355,0.10939080743118,0,3840.85013258325,
84.9398393856682,0.198780551428146,4.5,1.08453231556608,1.1243189521427,1,11.65,12930.3477247658,59.661527965158,108.335084553881,1196.89757137181,396.136312037953,0,88.4303453686331,73.4577546245076,52.3246539549144,1,131.380595779309,1.75,1.75,4.70847652145535,4.81051734473399,1.28816336121244,4.89533751966975,0.116440567858578,0,3845.59757137181,
85.1076817478636,0.203018845291235,4.6,1.09951150547759,1.12134437703627,1,11.65,12955.898280569,59.5533639455914,108.352360882038,1201.63241895428,397.703401072338,0,88.3634800244399,72.9858872794329,51.8159821755234,1,131.380595779309,1.75,1.75,4.83145857904127,4.86372409746068,1.3146323252326,5.00210517252226,0.123711029884564,0,3850.33241895428,
85.2747506226652,0.207248780740146,4.7,1.11477612327041,1.11838233745068,1,11.65,12981.331088787,59.4456983908016,108.36878674379,1206.35472877116,399.266340491636,0,88.2965911215416,72.4971375703556,51.3073103961324,1,131.380595779309,1.75,1.75,4.95556036836743,4.91792769124933,1.34190867371574,5.10875936437032,0.131203788202933,0,3855.05472877116,
