[Result Details],,,,,,,,,,,,,,,,,,,,,,,,,,
Result Name,[68.63] AR26, FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,1/20/2026 7:52:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,
Track,FSAE Endurance Germany 2012,,,,,,,,,,,,,,,,,,,,,,,,,
Track Configuration,Closed Circuit,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,AR26,,,,,,,,,,,,,,,,,,,,,,,,,
47.73001543,1.047071631,13.5,-16.55884596,8.932830795,1,11.65,7265.91551,105.5253185,107.6741782,377.9351316,125.0849135,57.92334091,97.93453246,0,-10.61568643,1,52.6493345,1.75,1.75,-72.55497566,-11.62881349,1.557608433,12.02551982,4.367898194,0,3026.635132
48.40115385,1.065927691,13.75,-16.09435524,9.886866445,1,11.65,7368.082564,104.1300332,107.744483,388.6382528,128.6273177,53.10545158,97.84757851,0,-11.23137287,1,54.42931491,1.75,1.75,-73.83453948,-10.99873932,3.499204743,12.25804165,4.262052811,0,3037.338253
49.11687456,1.084522289,14,-15.71252145,10.69188526,1,11.65,7477.036357,102.6420622,107.7753426,400.2170277,132.4595364,48.7779535,97.75131836,0,-11.8470593,1,56.18776981,1.75,1.75,-75.07872637,-10.49215548,2.852943432,12.48800481,4.151107566,0,3048.917028
49.86391262,1.10284593,14.25,-14.51821477,11.32474522,1,11.65,7590.757573,101.0889829,107.7589868,412.4837277,136.5194371,45.06660837,97.64678952,0,-13.21461417,1,60.03129067,1.75,1.75,-76.18446413,-9.778927411,4.076104013,12.71536639,4.035265682,0,3061.183728
50.69872718,1.120895055,14.5,-13.74503991,12.84787666,1,11.65,7717.840961,99.35341778,107.6820184,426.410831,141.1288802,37.06077337,97.52484046,0,-14.42922834,1,63.39052936,1.75,1.75,-77.19440585,-9.05859837,4.179298449,12.9403264,3.915123939,0,3075.110831
51.57681395,1.13864698,14.75,-13.12080815,13.74008688,1,11.65,7851.511655,97.52789048,107.534213,441.309358,146.0598348,31.65188982,97.39041116,0,-15.6438425,1,66.71514242,1.75,1.75,-78.13033865,-8.51357387,3.215134827,13.16301976,3.791099288,0,3090.009358
52.48258444,1.156096682,15,-12.40909413,14.41875195,1,11.65,7989.396628,95.64480919,107.3099365,456.9456437,151.2349648,27.00659438,97.2447506,0,-17.12715965,1,70.74770779,1.75,1.75,-78.97535866,-7.983985289,3.178185426,13.38354951,3.663516118,0,3105.645644
53.41580272,1.173245227,15.25,-12.06059889,15.11657628,1,11.65,8131.459963,94.24455736,107.6191005,473.3404654,156.6611469,22.0383614,97.10348931,0,-18.25431931,1,73.80391626,1.75,1.75,-79.76710443,-7.676332452,1.878720809,13.60207716,3.532752261,0,3122.040465
54.35566302,1.190094174,15.5,-11.762447,15.49487411,1,11.65,8274.534408,92.8781964,107.9249585,490.1440217,162.2226077,18.8866878,96.95653916,0,-19.38147896,1,76.86228899,1.75,1.75,-80.51189943,-7.181436211,3.075884495,13.81868608,3.399037383,0,3138.844022
55.29889814,1.206651786,15.75,-11.50511918,15.82412662,1,11.65,8418.122601,91.50692916,108.1767124,507.3025794,167.9015629,15.91651632,96.80279215,0,-20.50863861,1,79.93042513,1.75,1.75,-81.24209383,-6.741812812,2.780428335,14.03345264,3.26257276,0,3156.002579
56.24315702,1.222926975,16,-10.3382362,16.11619618,1,11.65,8561.866641,90.13417358,108.3733482,524.7754328,173.6845404,13.04181046,96.64230074,0,-23.60956192,1,88.4789713,1.75,1.75,-81.87688494,-6.336805464,2.605946464,14.24636756,3.123444394,0,3173.475433
57.2203077,1.238928921,16.25,-9.281565519,16.96235779,1,11.65,8710.617783,88.71360017,108.5184826,543.1683958,179.7720459,7.183863118,96.46896462,0,-27.21912384,1,98.77650666,1.75,1.75,-82.42357208,-5.141362638,7.82320317,14.45764035,2.982024358,0,3191.868396
58.21947974,1.254657603,16.5,-8.483530546,17.64596651,1,11.65,8862.721225,87.2610123,108.6055168,562.3034592,186.1051638,1.947246346,96.28372119,0,-30.82868575,1,109.659266,1.75,1.75,-82.96791048,-4.455759769,4.564665141,14.66747605,2.838648327,0,3211.003459
59.20339087,1.270116346,16.75,-5.351344299,17.67987483,1,11.65,9012.501507,85.83061061,108.6305812,581.4699535,192.4486844,0,96.09300499,0,-50.53883981,1,131.3805958,1.75,1.75,-83.28264902,-3.26075294,8.095148418,14.875775,2.693400418,0,3230.169953
60.15296735,1.285318178,17,-4.041767893,17.35128012,1,11.65,9157.055043,84.45012434,108.5977104,600.2721948,198.6716484,0,95.90073764,0,-69.07767963,1,131.3805958,1.75,1.75,-83.50683786,-2.374600115,6.10437657,15.08313882,2.547105088,0,3248.972195
61.07045141,1.300280034,17.25,-3.284515093,17.03376179,1,11.65,9296.723164,83.11629378,108.5127123,618.7231633,204.7783519,0,95.70692984,0,-87.61651944,1,131.3805958,1.75,1.75,-83.68038176,-2.007486849,2.56946817,15.28980443,2.40008785,0,3267.423163
61.9578563,1.315017112,17.5,-2.790267497,16.72661036,1,11.65,9431.812352,81.82619204,108.3807229,636.8349371,210.7727924,0,95.51159207,0,-106.1553593,1,131.3805958,1.75,1.75,-83.80462706,-1.717069348,2.06366892,15.49590522,2.252530209,0,3285.534937
62.81699787,1.329543115,17.75,-3.239078688,16.42918822,1,11.65,9562.599027,80.57717929,108.2063024,654.6187925,216.658702,0,95.31473468,0,-94,1,131.3805958,1.75,1.75,-83.95407164,-2.384627545,-4.812509772,15.70173773,2.104488451,0,3303.318792
