speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,G,G,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
38.827898859197,0.703022004067668,9.5,-1.86168970237578,-0.446080183921267,1,11.65,5910.75091856327,126.4,104.919033945093,250.104723675284,82.776977102931,0,0,20.8684057289398,-6.36951660187739,1,39.4360132434824,1.75,1.75,-45.2274956390289,-15.8931309180556,-2.72606434045655,8.03295653668938,5.158769926439,0,2898.80472367528,
38.4592386491714,0.726447079045905,9.75,-1.87002258454489,-0.0469861452125195,1,11.65,5854.62996587025,126.4,103.922856602864,245.37791957456,81.2125502138024,0,0,0,-6.2212908384117,1,38.9303543340914,1.75,1.75,-47.4316632934459,-15.6630065698151,1.02875083290887,8.29053164472157,5.17160249250449,0,2894.07791957456,
38.4203679534065,0.749872154024142,10,-1.91179400726754,0,1,11.65,5848.71270000091,126.4,103.81782192501,244.882164028299,81.0484703639759,0,1.71563788051782,0,-6.07306507494601,1,38.4203679534065,1.75,1.75,-49.8301762926774,-15.5238908064084,0.621904889984978,8.54827929692249,5.17451762281496,0,2893.5821640283,
38.3814972576416,0.773297229002379,10.25,-1.72207069159584,-0.0469861452125195,1,11.65,5842.79543413158,126.4,103.712787247156,244.386909794774,80.8845564332587,100,98.8849646224295,0,-6.72850904680453,1,40.6438268913764,1.75,1.75,-51.9965497969797,-14.4118061174886,4.97147763258844,8.80576651308886,5.1666483180319,0,2893.08690979477,
39.0296181565731,0.796746027624241,10.5,-1.60675403440089,0.782643388107371,1,11.65,5941.45854265031,126.4,105.464110924033,252.710169882256,83.6392997246237,69.7095204515595,98.8469890636647,0,-7.45701809360905,1,43.0292765242015,1.75,1.75,-53.9442342010953,-13.6418707276547,3.43844675292622,9.06261799861196,5.14906183519412,0,2901.41016988226,
39.8419529742632,0.819805438464222,10.75,-1.52531863227107,0.997505623819709,1,11.65,6065.11985090845,126.01906725816,107.334712868123,263.339103018231,87.1571499351118,61.8244091642394,98.794861746689,0,-8.18552714041358,1,45.3397287855343,1.75,1.75,-55.6457466607482,-12.8614197914095,3.54426361946799,9.31857486814354,5.12277116637772,0,2912.03910301823,
40.7380508329019,0.842394692574867,11,-1.59113739843678,1.12326451794653,1,11.65,6201.53236347521,123.558633580921,107.606043179872,275.318000219241,91.1217967628694,57.0523620605951,98.7149521765014,0,-8.203870550502,1,45.3970522382689,1.75,1.75,-57.3630196363589,-12.7090823824056,0.706209071282868,9.57350424985927,5.08890985471327,0,2924.01800021924,
41.5531606163206,0.86448706031459,11.25,-1.61530592626174,1.04472583378342,1,11.65,6325.61610332792,121.320570469358,107.770978478282,286.445655837507,94.8047087878273,59.072381031659,98.6383497274553,0,-8.407741101004,1,46.0315479708194,1.75,1.75,-59.0390820818269,-12.6308841061447,0.370666668113173,9.82716242841916,5.04744733983189,0,2935.14565583751,
42.3338753895421,0.886146062581833,11.5,-1.63688288809523,1.02066316706334,1,11.65,6444.46390860548,119.176946420005,107.855823783428,297.310446476035,98.4006205830848,59.1774770043072,98.5612819365156,0,-8.611611651506,1,46.6614298020771,1.75,1.75,-60.675924083116,-12.5678124213976,0.304947167011839,10.0793553069832,4.99861130373073,0,2946.01044647604,
43.084197668533,0.907405632883831,11.75,-1.65621204062376,0.999359744428077,1,11.65,6558.68508023898,117.116771645326,107.869936151852,307.942856759253,101.919621622448,59.2132590710313,98.4836172938854,0,-8.81548220200801,1,47.2869205930552,1.75,1.75,-62.2753940094787,-12.5057691299816,0.305610987974534,10.3299046935734,4.94262399621083,0,2956.64285675925,
